web_scraper_order,web_scraper_start_url,data-page-selector,price_0,data_1,title_0,data_2,data_3,data_4,data_5,data_6,item_0,position_0,item_1,item_2,bodyType_0,fuelType_0,vehicleModelDate_0,vehicleTransmission_0,name_3,model_0,priceCurrency_0,image_0,Make_0,Car_Price_0,Other_Offer_Engine_Type_0,Engine_Volume_0,Drive_0,Mileage_0,Other_Offer_Drive_0,Other_Offer_Mileage_0,Other_Offer_Year_0,Other_Offer_Price_0,Other_Offer_Price_USD_0,image_31
"1769978141-1","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/volkswagen/polo/275156456/avtomobil-iz-evropy","$10500","цена в  Европе","2019
				Volkswagen
				Polo
				
				1.0
				в

									Европе","Тип кузова 
                Кроссовер","Двигатель 
                бензин","Объем двигателя
								 
								 1.0
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Volkswagen","Polo","Кроссовер","дизель","2019","механика","Volkswagen","Polo","ЦЕНА, USD","","2021 Volkswagen Polo 1.0л","Цена от
													29921
							BYN (≈
							$10500)
																		без доставки и растаможки.","Дизель","1.0
									л","Передний","109823
																														км","Привод Передний","Пробег 48683","Год выпуска 2021","43741 BYN","≈ $15350","https://westmotors.hb.bizmrg.com/uploads/public/649/595/45b/64959545bdf78012131613.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/595/486/649595486aeae089544563.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/595/45b/64959545bdf9f205010303.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/595/484/6495954840a65204009707.jpeg"
"1769978151-2","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/bmw/5/21443634/avtomobil-iz-evropy","$18000","цена в  Европе","2019
				BMW
				5 series
				520d
				2.0
				в

									Европе","Тип кузова 
                Седан","Двигатель 
                дизель","Объем двигателя
								 
								 2.0
									л","Привод 
							
							 Задний","Год выпуска 
							
							 2019","Авто из Европы","1","BMW","5 series","Кроссовер","дизель","2019","автомат","BMW","5 series","ЦЕНА, USD","","2018 BMW 5 series 2.0л","Цена от
													51293
							BYN (≈
							$18000)
																		без доставки и растаможки.","Дизель","2.0
									л","Задний","137822
																														км","Привод Задний","Пробег 119614","Год выпуска 2018","71240 BYN","≈ $25000","https://westmotors.hb.bizmrg.com/uploads/public/649/5c3/337/6495c3337dad1743831195.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c3/35c/6495c335c1c74361924605.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c3/337/6495c3337d582969958777.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c3/34a/6495c334a779a352236977.jpeg"
"1769978160-3","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/bmw/x2/23945745/avtomobil-iz-evropy","$16500","цена в  Европе","2019
				BMW
				X2
				
				1.5
				в

									Европе","Тип кузова 
                Кроссовер","Двигатель 
                дизель","Объем двигателя
								 
								 1.5
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","BMW","X2","Кроссовер","дизель","2019","механика","BMW","X2","ЦЕНА, USD","","2019 BMW X2 1.5л","Цена от
													47018
							BYN (≈
							$16500)
																		без доставки и растаможки.","Дизель","1.5
									л","Передний","137653
																														км","Привод Передний","Пробег 49544","Год выпуска 2019","78934 BYN","≈ $27700","https://westmotors.hb.bizmrg.com/uploads/public/649/5c8/d6b/6495c8d6b7962610042405.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c8/de9/6495c8de99d28901220304.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c8/d59/6495c8d598bbc236069893.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c8/d7e/6495c8d7e2bff048338764.jpeg"
"1769978170-4","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/volkswagen/golf/27324636/avtomobil-iz-evropy","$11000","цена в  Европе","2019
				Volkswagen
				Golf
				
				1.6
				в

									Европе","Тип кузова 
                Хэтчбек","Двигатель 
                гибрид","Объем двигателя
								 
								 1.6
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Volkswagen","Golf","Кроссовер","дизель","2019","автомат","Volkswagen","Golf","ЦЕНА, USD","","2021 Volkswagen Golf 1.5л","Цена от
													31346
							BYN (≈
							$11000)
																		без доставки и растаможки.","Дизель","1.6
									л","Передний","119324
																														км","Привод Передний","Пробег 38500","Год выпуска 2021","74375 BYN","≈ $26100","https://westmotors.hb.bizmrg.com/uploads/public/649/5c6/713/6495c671359a2977154293.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c6/6fd/6495c66fdfdb8060078464.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c6/6fd/6495c66fdfdc4802563230.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c6/711/6495c671144b4500998595.jpeg"
"1769978179-5","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/volvo/v60/28096356/avtomobil-iz-evropy","$17000","цена в  Европе","2019
				Volvo
				V60
				
				2.0
				в

									Европе","Тип кузова 
                Универсал","Двигатель 
                дизель","Объем двигателя
								 
								 2.0
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Volvo","V60","Кроссовер","дизель","2019","автомат","Volvo","V60","ЦЕНА, USD","","2020 Volvo V60 2.0л","Цена от
													48443
							BYN (≈
							$17000)
																		без доставки и растаможки.","Дизель","2.0
									л","Передний","125688
																														км","Привод Полный","Пробег 115594","Год выпуска 2020","70385 BYN","≈ $24700","https://westmotors.hb.bizmrg.com/uploads/public/649/5c5/a48/6495c5a48f967134486009.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c5/a5a/6495c5a5a81e2906021553.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c5/a34/6495c5a34f5fd427671623.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c5/a48/6495c5a48ff00509339804.jpeg"
"1769978187-6","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/volvo/xc60/28143464/avtomobil-iz-evropy","$21000","","2019
				Volvo
				XC60
				
				2.0
				в

									Европе","","","Объем двигателя
								 
								 2.0
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Volvo","XC60","Кроссовер","дизель","2019","механика","Volvo","XC60","ЦЕНА, USD","","","Цена от
													59842
							BYN (≈
							$21000)
																		без доставки и растаможки.","Дизель","2.0
									л","Передний","131495
																														км","","","","","","https://westmotors.hb.bizmrg.com/uploads/public/649/5c4/fcc/6495c4fccead2263099004.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c4/f93/6495c4f934ce0419778760.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c4/f94/6495c4f947976690157351.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c4/fa5/6495c4fa57a1b494254980.jpeg"
"1769978197-7","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/peugeot/508/312445634/avtomobil-iz-evropy","$13700","цена в  Европе","2019
				Peugeot
				508
				
				1.5
				в

									Европе","Тип кузова 
                Седан","Двигатель 
                дизель","Объем двигателя
								 
								 1.5
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Peugeot","508","Кроссовер","дизель","2019","автомат","Peugeot","508","ЦЕНА, USD","","2020 Peugeot 508 1.5л","Цена от
													39040
							BYN (≈
							$13700)
																		без доставки и растаможки.","Дизель","1.5
									л","Передний","109570
																														км","Привод Передний","Пробег 178445","Год выпуска 2020","47873 BYN","≈ $16800","https://westmotors.hb.bizmrg.com/uploads/public/649/5c3/cb2/6495c3cb2876f014866207.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c3/cd6/6495c3cd6042b883810731.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c3/ce9/6495c3ce98696736525127.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/5c3/cf1/6495c3cf18dc0372667795.jpeg"
"1769978207-8","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/renault/kadjar/225645745/avtomobil-iz-evropy","$12500","цена в  Европе","2019
				Renault
				Kadjar
				
				1.5
				в

									Европе","Тип кузова 
                Кроссовер","Двигатель 
                дизель","Объем двигателя
								 
								 1.5
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Renault","Kadjar","Кроссовер","дизель","2019","автомат","Renault","Kadjar","ЦЕНА, USD","","2022 Renault Kadjar 1.5л","Цена от
													35620
							BYN (≈
							$12500)
																		без доставки и растаможки.","Дизель","1.5
									л","Передний","143286
																														км","Привод Передний","Пробег 121014","Год выпуска 2022","53003 BYN","≈ $18600","https://westmotors.hb.bizmrg.com/uploads/public/649/597/8a9/6495978a90246465000888.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/597/883/649597883a7e2508157444.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/597/86f/64959786f2f29913117540.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/597/896/649597896a327730933013.jpeg"
"1769978216-9","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/ford/focus/935764567/avtomobil-iz-evropy","$11000","цена в  Европе","2019
				Ford
				Focus
				
				1.5
				в

									Европе","Тип кузова 
                Универсал","Двигатель 
                бензин","Объем двигателя
								 
								 1.5
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Ford","Focus","Кроссовер","дизель","2019","автомат","Ford","Focus","ЦЕНА, USD","","2020 Ford Focus 1.0л","Цена от
													31346
							BYN (≈
							$11000)
																		без доставки и растаможки.","Дизель","1.5
									л","Передний","138177
																														км","Привод Передний","Пробег 118080","Год выпуска 2020","43029 BYN","≈ $15100","https://westmotors.hb.bizmrg.com/uploads/public/649/596/92f/64959692f3cd2567150153.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/596/941/6495969419959335241445.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/596/942/649596942a524823272023.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/596/954/6495969542ed9747226796.jpeg"
"1769978229-10","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/volkswagen/passat/27466464/avtomobil-iz-evropy","$14000","цена в  Европе","2019
				Volkswagen
				Passat
				
				2.0
				в

									Европе","Тип кузова 
                Универсал","Двигатель 
                дизель","Объем двигателя
								 
								 2.0
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Volkswagen","Passat","Кроссовер","дизель","2019","автомат","Volkswagen","Passat","ЦЕНА, USD","","2020 Volkswagen Passat 1.6л","Цена от
													39894
							BYN (≈
							$14000)
																		без доставки и растаможки.","Дизель","2.0
									л","Передний","122538
																														км","Привод Передний","Пробег 100187","Год выпуска 2020","64258 BYN","≈ $22550","https://westmotors.hb.bizmrg.com/uploads/public/649/593/ac9/649593ac9a31a724150907.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/593/ab4/649593ab40886282321389.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/593/aa1/649593aa1c0a8287667134.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/593/ab6/649593ab67306076459108.jpeg"
"1769978238-11","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/renault/megane/2264758/avtomobil-iz-evropy","$13000","","2019
				Renault
				Megane
				
				1.5
				в

									Европе","","","Объем двигателя
								 
								 1.5
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Renault","Megane","Кроссовер","дизель","2019","механика","Renault","Megane","ЦЕНА, USD","","","Цена от
													37045
							BYN (≈
							$13000)
																		без доставки и растаможки.","Дизель","1.5
									л","Передний","95014
																														км","","","","","","https://westmotors.hb.bizmrg.com/uploads/public/649/590/f8c/649590f8c62d0250953561.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/590/f76/649590f76e0ef230599480.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/590/f88/649590f88e4b0053953235.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/590/fae/649590faee70e437861736.jpeg"
"1769978247-12","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/peugeot/5008/2126465346/avtomobil-iz-evropy","$16500","цена в  Европе","2019
				Peugeot
				5008
				
				1.5
				в

									Европе","Тип кузова 
                Кроссовер","Двигатель 
                дизель","Объем двигателя
								 
								 1.5
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Peugeot","5008","Кроссовер","дизель","2019","механика","Peugeot","5008","ЦЕНА, USD","","2020 Peugeot 5008 1.5л","Цена от
													47018
							BYN (≈
							$16500)
																		без доставки и растаможки.","Дизель","1.5
									л","Передний","98139
																														км","Привод Передний","Пробег 74620","Год выпуска 2020","63119 BYN","≈ $22150","https://westmotors.hb.bizmrg.com/uploads/public/649/58c/ed7/64958ced7608f077540345.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/58c/eb1/64958ceb1c4de412175301.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/58c/eea/64958ceea0616696528614.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/58c/ec4/64958cec4ea71504667973.jpeg"
"1769978257-13","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/peugeot/3008/210845643/avtomobil-iz-evropy","$14500","цена в  Европе","2019
				Peugeot
				3008
				
				1.5
				в

									Европе","Тип кузова 
                Кроссовер","Двигатель 
                дизель","Объем двигателя
								 
								 1.5
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Peugeot","3008","Кроссовер","дизель","2019","автомат","Peugeot","3008","ЦЕНА, USD","","2022 Peugeot 3008 1.5л","Цена от
													41319
							BYN (≈
							$14500)
																		без доставки и растаможки.","Дизель","1.5
									л","Передний","115448
																														км","Привод Передний","Пробег 117466","Год выпуска 2022","59842 BYN","≈ $21000","https://westmotors.hb.bizmrg.com/uploads/public/649/58d/2f5/64958d2f5028a955974762.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/58d/307/64958d3070153526925499.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/58d/2e3/64958d2e352a4452705587.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/58d/2d0/64958d2d09a34130596290.jpeg"
"1769978266-14","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/opel/insignia/2053634/avtomobil-iz-evropy","$12500","цена в  Европе","2019
				Opel
				Insignia
				
				1.6
				в

									Европе","Тип кузова 
                Лифтбек","Двигатель 
                дизель","Объем двигателя
								 
								 1.6
									л","Привод 
							
							 Передний","Год выпуска 
							
							 2019","Авто из Европы","1","Opel","Insignia","Кроссовер","дизель","2019","механика","Opel","Insignia","ЦЕНА, USD","","2021 Opel Insignia 2.0л","Цена от
													35620
							BYN (≈
							$12500)
																		без доставки и растаможки.","Дизель","1.6
									л","Передний","141773
																														км","Привод Полный","Пробег 138339","Год выпуска 2021","61979 BYN","≈ $21750","https://westmotors.hb.bizmrg.com/uploads/public/649/58a/97c/64958a97cff56608150534.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/58a/955/64958a9550755069194347.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/58a/96a/64958a96a8d3c824190608.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/58a/969/64958a969ddec764354473.jpeg"
"1769978272-15","https://westmotors.by/catalog-avto-europe","https://westmotors.by/catalog-avto-europe/nissan/qashqai/19984643/avtomobil-iz-evropy","$13500","цена в  Европе","2019
				Nissan
				Qashqai
				
				1.5
				в

									Европе","Тип кузова 
                Кроссовер","Двигатель 
                дизель","Объем двигателя
								 
								 1.5
									л","Привод 
							
							 Полный","Год выпуска 
							
							 2019","Авто из Европы","1","Nissan","Qashqai","Кроссовер","дизель","2019","механика","Nissan","Qashqai","ЦЕНА, USD","","2020 Nissan Qashqai 1.5л","Цена от
													38470
							BYN (≈
							$13500)
																		без доставки и растаможки.","Дизель","1.5
									л","Полный","122084
																														км","Привод Передний","Пробег 95165","Год выпуска 2020","55852 BYN","≈ $19600","https://westmotors.hb.bizmrg.com/uploads/public/649/589/6ad/6495896adcceb660753795.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/589/69b/64958969bd391720401098.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/589/69c/64958969c4058491461265.jpeg
https://westmotors.hb.bizmrg.com/uploads/public/649/589/6c2/6495896c2aa4d564033731.jpeg"
